Customer Name,Drink,Qty,Price,Branch,Payment Type,Card Number,Date/Time
Dave,Latte,2,3.50,Epsom,Card,1234567812345678,2024-08-12 09:30
Sarah,Espresso,1,2.00,Kingston,Cash,,2024-08-12 10:05
John,Americano,1,2.80,Epsom,Card,8765432187654321,2024-08-12 10:45
Emily,Cappuccino,3,3.20,Richmond,Card,3456345634563456,2024-08-12 11:15
Michael,Flat White,2,3.00,Epsom,Cash,,2024-08-12 12:00
Anna,Mocha,1,3.60,Kingston,Card,2345234523452345,2024-08-12 13:20
Tom,Latte,1,3.50,Richmond,Card,1122112211221122,2024-08-12 14:40
Lucy,Espresso,2,2.00,Epsom,Cash,,2024-08-12 15:10
Daniel,Cappuccino,1,3.20,Kingston,Card,9988998899889988,2024-08-12 16:30
Grace,Americano,2,2.80,Richmond,Cash,,2024-08-12 17:00
