Customer Name,Drink,Qty,Price,Branch,Payment Type,Card Number,Date/Time
Kristin Brooks,Cappuccino,4,4.14,Epsom,Card,2720818684445075,2025-06-17 13:02
Sean Thomas,Flat White,3,3.3,Chesterfield,Card,6595407378755008,2024-11-28 16:14
Michael Brewer,Americano,2,4.95,Richmond,Card,4555869887933397,2024-03-31 04:01
Vanessa Cruz,Latte,4,2.76,Richmond,Card,4597220300543142,2024-04-11 07:14
Eric Johnson,Latte,1,4.95,Epsom,Card,6567729204840165,2024-01-09 14:31
Valerie Park,Mocha,3,2.39,Richmond,Card,4785911788844,2024-11-23 15:14
Lance Roberts,Flat White,5,2.03,Epsom,Card,4192545665338582,2024-03-17 14:49
Gregory Stevenson,Mocha,2,4.49,Richmond,Card,3578131248571209,2023-08-28 16:32
Stacey Johns,Latte,3,3.16,Epsom,Card,6011087362668270,2023-08-20 14:07
Jacob Howard,Espresso,2,2.67,Kingston,Card,30421121854105,2025-04-30 14:58
Amanda Sanders,Mocha,5,4.71,Richmond,Card,30555469899006,2025-01-29 05:08
Catherine Perez,Espresso,1,3.71,Guildford,Card,180057241087966,2024-05-17 21:42
Kelly Sparks,Mocha,4,4.99,Guildford,Card,345876976255304,2024-03-21 02:17
Carrie Wise,Mocha,5,2.02,Epsom,Card,4664425370832634,2023-10-01 01:38
Brian Cisneros,Americano,1,2.84,Kingston,Card,3586548703790968,2024-04-22 13:28
William Lee,Americano,4,4.28,Chesterfield,Card,4313738195066435,2025-04-25 19:12
Joshua Hayden,Flat White,1,3.06,Richmond,Card,5573383355789740,2024-11-10 16:23
Ronald Mcgee,Flat White,4,4.93,Kingston,Card,4617745430036605,2025-07-20 23:34
Robert Gonzales,Espresso,3,2.65,Guildford,Card,3526919105030977,2025-06-29 00:08
Samantha Ortega,Latte,1,3.59,Kingston,Card,180096982826943,2024-10-02 13:15
Monica Martin DDS,Flat White,1,4.01,Epsom,Card,3539961166686847,2024-01-14 23:03
Ethan Jones,Cappuccino,4,2.88,Epsom,Card,3550680238827460,2025-03-01 08:40
Corey Miller,Mocha,5,2.56,Chesterfield,Card,36634209610231,2024-02-24 16:12
Deanna Moore,Flat White,5,4.65,Epsom,Card,30389108745473,2025-01-24 09:54
Garrett Green,Americano,2,4.26,Epsom,Card,36452040706575,2024-09-16 03:24
Joshua Caldwell,Espresso,4,4.06,Guildford,Card,30537867933454,2023-08-05 04:50
Katherine Murphy,Mocha,1,3.72,Epsom,Card,3509395693850285,2023-12-09 00:56
Angela Zimmerman,Cappuccino,3,4.63,Epsom,Card,3551065165923988,2024-10-21 10:49
Alexander Moore,Espresso,5,4.82,Richmond,Card,3562369322469472,2024-05-10 17:29
Lori Turner,Americano,5,3.18,Richmond,Card,4974245207578,2024-06-25 23:57
Javier Winters,Flat White,1,3.52,Chesterfield,Card,4894292324906472,2024-06-16 02:29
Sharon Riggs,Flat White,5,4.88,Kingston,Card,3532312045193372,2023-12-30 01:26
Mercedes Bush,Cappuccino,2,3.74,Kingston,Card,344020884722466,2024-05-17 04:32
Rebecca Castaneda,Latte,3,4.05,Epsom,Card,372668944891989,2024-05-08 02:25
Donald Keller II,Cappuccino,4,2.67,Chesterfield,Card,4145768914813,2024-12-26 12:33
Sandra Moss,Cappuccino,1,4.28,Richmond,Card,3594116693101404,2024-03-21 22:33
James Hernandez,Latte,3,2.42,Kingston,Card,3566289715734835,2023-07-30 23:21
Jerry Hartman,Mocha,4,3.57,Kingston,Card,213110304333586,2024-02-18 10:16
Ms. Erica James MD,Espresso,4,3.59,Epsom,Card,30274973202935,2024-12-20 22:46
Eric Turner,Americano,3,3.89,Kingston,Card,30442161948318,2025-06-15 14:08
Randy Moss,Cappuccino,3,2.22,Richmond,Card,4171191221329,2023-08-07 23:02
Kristen Moore,Americano,2,2.66,Richmond,Card,374717726755363,2024-01-31 13:16
Tyler Williams,Mocha,2,3.01,Richmond,Card,578077025125,2024-04-24 00:46
Victoria Singleton,Americano,5,2.92,Guildford,Card,060476289925,2023-11-19 00:19
James Brooks,Espresso,2,2.26,Kingston,Card,3551744776577256,2025-02-26 21:17
Heather Donaldson,Mocha,4,3.01,Guildford,Card,4584529915240,2023-11-26 03:07
Michael Soto,Latte,5,3.9,Chesterfield,Card,4474401086000745692,2025-05-14 11:03
Meghan Andrews,Americano,1,2.03,Chesterfield,Card,2282874170852316,2024-11-20 22:17
Alexander Shaw,Flat White,3,2.34,Richmond,Card,4328735985457645,2025-06-02 16:53
Beth Smith,Americano,2,3.6,Chesterfield,Card,4267451432227358,2024-01-16 02:00
Erin Rivera,Cappuccino,2,2.2,Guildford,Cash,,2023-10-22 19:19
Mary Hays,Espresso,4,3.64,Epsom,Cash,,2024-05-24 19:34
Doris Conrad,Latte,1,4.72,Guildford,Cash,,2025-06-22 16:12
Brian Peterson,Mocha,4,2.18,Richmond,Cash,,2024-01-13 04:33
Melissa Marshall,Mocha,5,2.82,Guildford,Cash,,2024-04-19 17:21
Ashley Garcia,Americano,5,4.15,Kingston,Cash,,2023-07-25 23:16
Lisa Goodman,Cappuccino,1,3.74,Kingston,Cash,,2024-03-07 09:53
Randy Vargas,Mocha,2,2.3,Richmond,Cash,,2025-03-08 17:47
Margaret Gibson,Americano,2,2.53,Chesterfield,Cash,,2025-06-11 19:11
Andrea Wright,Flat White,3,4.33,Epsom,Cash,,2025-01-27 06:48
Daniel Wyatt,Americano,1,3.21,Epsom,Cash,,2023-12-25 12:47
Nicole Brown,Cappuccino,3,2.95,Richmond,Cash,,2024-08-25 23:16
Daniel Moore,Latte,1,4.93,Guildford,Cash,,2023-12-30 14:31
Kimberly Myers,Americano,2,2.36,Kingston,Cash,,2025-02-20 17:53
Mark Johnson,Cappuccino,4,4.26,Richmond,Cash,,2024-01-11 22:11
Steven Thomas,Americano,4,4.46,Epsom,Cash,,2024-07-18 17:19
Seth Martin,Mocha,2,4.16,Richmond,Cash,,2024-01-16 16:49
Allen Petersen,Cappuccino,1,2.72,Richmond,Cash,,2024-02-19 17:13
Ray Young,Espresso,2,3.07,Chesterfield,Cash,,2024-08-31 16:20
Amanda Hardy MD,Cappuccino,5,2.95,Guildford,Cash,,2024-08-05 11:58
,,,,,,,
recently,???,-1,NaN,!!??,UNKNOWN,XXXXX,BAD_DATE
,,,,,,,
,,,,,,,
,,,,,,,
prevent,???,-1,NaN,!!??,UNKNOWN,XXXXX,BAD_DATE
rich,???,-1,NaN,!!??,UNKNOWN,XXXXX,BAD_DATE
,,,,,,,
,,,,,,,
eight,???,-1,NaN,!!??,UNKNOWN,XXXXX,BAD_DATE
,,,,,,,
,,,,,,,
south,???,-1,NaN,!!??,UNKNOWN,XXXXX,BAD_DATE
morning,???,-1,NaN,!!??,UNKNOWN,XXXXX,BAD_DATE
sound,???,-1,NaN,!!??,UNKNOWN,XXXXX,BAD_DATE
,,,,,,,
